Books,Clothing,Electronics,Home
4282,2910,0,4467
1066,419,0,0
0,0,1861,673
4810,5692,7051,5406
0,0,1129,4154
0,480,3078,0
0,4090,2935,0
4522,0,2970,1814
8254,8027,0,0
3647,0,6654,3342
4190,4483,11287,14818
0,0,9178,7964
7905,4379,2601,5653
0,0,4881,2234
1612,8838,658,2056
0,0,0,2099
2565,4452,9474,7518
1955,11722,942,5149
2586,4453,3364,0
455,0,3392,0
4482,9671,7010,0
0,1492,2013,8863
242,0,0,11468
3902,5323,5208,0
0,0,0,2084
0,0,6090,1840
0,1133,3520,0
8132,6039,0,0
0,4735,2589,5390
4722,8944,3775,4367
653,3760,7855,0
1826,0,7801,4915
4497,4194,4759,6764
0,4970,10896,0
2386,5179,3400,0
0,2737,7224,7668
0,5683,3602,0
0,0,4154,7963
3184,0,656,2701
4966,0,2125,615
0,5692,11120,0
5886,0,2318,4829
0,8876,1763,0
0,1546,0,3141
595,0,6239,4260
1419,0,345,9849
0,3503,1598,5517
4462,4075,0,0
4230,0,13726,5398
4293,0,4508,2934
5441,0,0,1709
0,2667,0,8064
9330,6698,6217,1986
8380,12650,2218,0
0,0,0,2363
4406,682,1491,3547
0,4600,7610,5385
2579,0,0,727
1116,7943,4313,0
5172,4483,4426,0
5092,304,0,9409
1334,3171,3436,0
3251,7325,6982,0
6535,4428,0,3856
2158,3923,17672,5489
5222,0,9437,4076
0,11470,4137,4262
0,5402,8337,7790
5583,4371,0,0
5901,6349,10694,3963
8986,4253,0,8099
8911,3094,0,0
3344,0,616,3900
0,8362,5111,4464
1365,19511,2566,3352
4017,0,8188,7913
0,2611,0,0
0,0,1073,813
5127,3514,6666,3922
2144,0,0,0
0,6843,3572,8260
849,2886,6355,645
0,5376,0,2586
0,8337,0,0
0,6062,932,359
5013,5703,2433,3494
0,598,0,3665
9094,3669,0,4799
3006,3844,0,0
0,5308,0,0
0,0,0,863
3745,6235,5257,3546
3638,0,2334,9216
3262,5341,0,5916
9272,0,7644,2454
2501,1654,0,3265
0,0,0,9312
0,0,9765,0
573,6945,7871,4698
6655,0,4876,0
4645,4905,4660,6989
4763,5214,14152,0
5060,2717,9168,0
4826,2590,0,6559
724,0,3320,3951
4652,4834,0,0
2185,0,4284,2110
4072,5096,0,2398
10274,0,4567,4268
6680,4850,5017,0
7107,255,0,9693
0,4124,4050,0
4500,2646,4941,9104
0,10832,5175,7403
2476,4133,3469,8758
8156,1551,2584,1744
12097,11301,0,6834
6110,430,6873,3987
0,8100,6129,3712
0,0,4393,2651
5029,0,4030,6396
0,0,241,17009
2201,17390,0,3023
1121,5097,0,0
0,6152,0,3229
5962,21017,3182,2425
3042,4945,0,0
1865,9568,2915,0
2022,8500,3482,494
0,4066,7191,5116
0,4871,4038,0
2710,4674,3529,4185
3326,3920,0,4408
5154,0,2732,0
1295,0,4364,0
768,4795,6237,3659
3151,0,0,0
307,0,4227,3131
8635,7579,10719,4984
2418,0,4894,3229
5353,4071,1921,12452
4796,0,9200,1870
0,4219,4859,4784
4460,0,0,0
5807,4325,0,6638
5036,3726,2587,2089
0,2892,0,0
0,2025,0,5725
2133,0,7515,17320
0,0,0,5395
2827,8025,3391,2267
0,0,6851,2061
11378,5357,0,4054
8732,0,5273,0
0,8480,1751,5062
1532,0,3565,2250
13099,0,0,15457
11350,0,5119,4244
804,7851,0,0
3470,1113,4875,3694
4575,4807,4764,0
2641,2655,3614,0
3755,12346,16750,3987
0,8493,0,0
0,0,4851,0
3096,7045,11734,5085
1933,0,0,10840
3903,1728,0,2760
0,0,1062,4776
0,0,6023,4255
1263,2172,2702,0
0,0,7384,0
2805,6512,12487,2836
13588,4031,2121,4018
7844,0,2247,606
2740,8028,4596,4497
6236,0,6892,4709
14066,2601,0,0
2598,2321,625,5396
4781,1626,4949,7597
4208,3440,4770,546
0,0,0,4183
8105,2121,0,6585
0,0,9559,2017
1497,3646,7015,9252
1732,15589,8444,0
0,3492,0,3102
0,4231,10541,5139
5445,2239,8950,0
9458,8906,0,4954
0,7265,0,0
4917,3397,0,2810
0,5558,5222,2923
4988,2363,0,2498
14440,3452,0,1808
7205,5619,0,5611
3698,0,4923,374
3465,3303,1225,842
0,0,0,4855
0,3613,4856,8695
0,723,3832,13362
3462,0,3531,0
5284,0,3446,2185
9117,0,0,8343
0,11369,0,11172
0,11911,9136,6870
2800,0,0,6935
687,3071,0,0
0,1391,6388,486
0,4190,1061,0
5015,8927,0,716
7976,3037,0,4051
1394,5440,7921,3265
5804,1336,0,6804
0,0,5675,0
3780,414,4753,1578
4833,431,302,0
2786,0,6353,5629
5899,1143,14187,5169
0,4890,3894,8378
361,4633,5780,1945
0,0,2753,9398
2245,2004,3162,0
0,4281,881,4904
0,6359,0,2234
0,5685,0,0
0,3290,711,0
0,526,0,0
5084,0,4485,0
5195,0,4398,4027
5249,0,3821,7560
0,845,0,0
3851,3814,0,0
2086,1935,713,1914
0,4523,4763,0
7823,2476,1743,8469
9249,677,3148,16585
2336,0,6646,8909
4462,0,4900,3921
0,9298,3705,5135
4422,2074,1960,5423
9598,0,1775,3472
3695,0,6849,3482
11954,5227,608,5330
0,988,3663,3267
4863,3629,5259,399
0,3427,5425,9713
0,6082,4428,2852
0,0,1133,4932
11677,4400,4802,0
2277,4175,608,4423
10732,4133,0,8792
7688,0,0,4105
4414,6390,4495,5765
3493,5148,2452,9738
7453,3436,2492,1906
4472,4144,0,280
11341,0,1658,8296
0,12907,527,0
0,0,2707,4325
2612,0,6582,7421
0,5331,2150,0
0,0,4158,0
2288,9182,0,3278
4303,7461,0,2736
5309,9555,3531,0
0,2296,7318,4274
3638,0,4707,6930
3034,624,2878,10575
0,4546,5257,4770
6614,1814,7740,3217
0,0,4238,7079
4574,8150,3289,2351
1524,0,9936,8210
0,0,8180,0
964,1583,0,11893
1978,12282,0,0
9444,1781,1367,4350
3244,0,5920,9575
5499,0,6320,0
0,516,0,2698
1352,7451,0,0
363,6975,748,3472
10235,7322,0,6484
4557,0,4459,9617
0,0,0,4712
3936,0,2058,523
9999,0,5042,245
0,0,3352,5256
0,0,4761,0
11441,3871,0,4227
5507,0,10266,13764
2607,4102,4117,6700
3971,5687,3404,0
0,0,0,8144
7923,5434,2465,4403
4036,11615,1569,0
0,0,1564,1448
0,7236,656,10065
2954,5228,1498,667
1585,4597,0,0
0,1734,2982,2262
1187,0,2470,4744
4896,5173,1585,1859
5038,0,3977,4634
2016,0,7048,7796
2095,3829,9914,0
0,0,5190,6642
1905,2740,5164,0
0,3518,4922,632
5076,5069,3381,6180
3133,7699,8450,0
2831,0,3954,0
3969,5514,4994,0
0,912,0,5055
5895,1410,0,4381
4266,15428,9410,2680
0,0,0,2663
3816,4686,0,1354
5314,3258,2770,0
4319,0,0,4753
0,0,1642,0
0,0,3850,0
2403,812,7254,5190
0,5000,4851,6676
990,0,4084,6310
15576,0,5047,2069
3171,0,0,4234
3209,3068,0,4163
0,4934,6568,0
3277,6669,4116,2353
0,1224,8187,3431
0,0,0,7556
7553,4503,1850,5293
0,5419,4726,0
4631,0,9208,3069
311,0,4839,4530
8406,284,8752,583
0,0,0,8037
0,0,3377,3992
1013,5046,0,0
0,1007,8040,7275
672,2203,2330,241
1416,0,1697,4602
1644,7182,3503,0
0,4295,10581,2938
1617,4089,0,0
3903,12021,11379,1721
0,3970,2755,3735
0,0,3409,4354
2497,8476,5926,3848
3852,4761,2868,889
0,8622,0,4481
5159,0,0,0
1215,12565,4064,6603
0,1084,0,5606
4474,0,2203,3234
2304,4765,967,1193
2401,0,2602,4683
4707,10167,5347,4851
0,2138,0,3100
0,3422,7567,0
4010,1424,0,3680
3337,3762,5599,1675
2491,0,6063,0
3351,3089,0,3534
1250,4706,2987,0
0,1690,4112,10586
0,2310,7917,0
4882,315,3351,3037
1371,0,1586,280
5651,1657,0,0
0,0,4374,0
444,5660,4268,0
966,2289,0,4145
6965,7284,0,0
6802,0,0,912
3641,0,0,0
3756,2412,6400,9041
364,0,9396,2545
2064,11049,505,788
4211,182,3161,7891
0,0,0,5666
13920,2562,0,1699
12621,5531,563,0
1545,4659,0,0
11457,2135,4588,4252
4622,3099,6295,0
0,6856,2372,3974
6969,7325,0,1182
1791,4281,3682,0
3623,8582,2001,1813
9541,10293,3086,2706
1110,0,0,5794
7252,929,1786,0
2481,4280,689,1668
0,4777,5845,0
4087,0,0,3951
1101,0,1668,3447
0,0,9774,0
0,0,0,1602
2598,4600,6162,8217
4609,2115,0,2331
0,0,6872,3926
0,2709,0,5825
0,0,5168,3097
0,0,1225,0
10409,5258,0,0
2393,0,0,2227
1048,6002,4493,0
1308,0,0,7218
0,8148,0,11293
3515,3510,6925,0
8168,7421,5711,1302
11376,4464,6830,0
3702,523,1924,0
488,1379,2769,0
3251,7821,10492,0
1364,3062,1696,1817
3660,1382,4860,0
831,5057,7799,0
5005,6285,0,4644
8307,5853,3421,0
10294,0,9123,0
4797,2120,3409,0
2494,2416,5073,0
9021,8761,641,0
0,4312,5669,2342
5379,11386,6520,3245
5268,3315,7976,3831
1285,4838,333,5693
0,0,0,1443
4931,3864,0,8124
0,5017,3876,431
0,1322,4966,3901
963,0,5204,4873
6130,0,0,2790
3482,3171,0,3903
887,0,0,5020
0,0,0,1624
0,6123,4705,0
1624,5517,0,3646
0,4140,8847,295
2936,1777,1025,8897
0,4640,10167,8859
4086,4804,15186,3247
2069,0,4688,547
0,3405,0,0
5113,3709,5161,7923
10896,0,2987,0
7570,9284,4934,4770
4585,3408,2821,0
2576,7288,0,6051
982,5088,6195,1623
4760,7580,4170,1180
3382,3312,0,3573
9051,4359,5418,5925
3506,6964,615,3836
5610,0,0,9193
9152,3704,4566,0
0,2524,11710,12182
0,3145,0,0
0,0,0,4700
957,4601,3321,3276
4326,0,0,0
4680,4858,4982,4765
6529,0,0,2816
4256,2604,0,4407
5604,14764,0,11538
3540,0,1148,0
2075,1951,5802,0
8896,0,4310,4317
4716,8368,0,0
3171,8738,2928,0
0,7536,4241,4109
2038,321,11123,4350
1910,0,6100,1684
0,3887,0,14861
4690,4084,0,2761
0,4281,4545,0
5460,4692,8584,6019
3571,5235,1694,5307
8624,7524,0,7737
2587,0,1078,6949
0,2603,1378,0
0,7697,0,0
1663,1111,2442,579
0,4507,0,3031
7771,4767,0,5913
2828,479,2590,1229
872,8337,4513,1139
3878,11015,6644,4046
5397,2534,12477,1607
1055,8836,857,2482
0,4523,2504,4071
4742,0,0,3547
0,0,13126,1908
4490,1382,4256,8777
8237,14735,5838,2158
1386,4970,6926,4362
5852,2006,8059,3044
0,2187,5707,0
0,9945,0,0
4191,7219,0,0
0,4041,0,0
4271,0,5395,4085
3858,6260,2083,3670
0,2044,0,1355
16670,3619,5046,10636
2507,0,1435,7826
2522,0,13221,983
8506,5827,3013,4110
5243,6571,0,0
1967,2860,4243,0
11022,0,4291,0
7632,856,0,8982
4161,1172,0,0
3724,3009,0,0
6012,4547,3997,10247
766,3160,3922,4448
3370,0,0,498
0,5154,1641,10639
8217,8185,0,0
2620,2877,8461,3895
1100,0,4887,9668
541,10611,832,2245
4710,5703,5042,12483
3405,2140,7585,0
4490,3201,15391,2717
4322,0,3311,1215
0,5785,0,831
4965,9077,5540,6836
0,1987,0,1930
0,0,12352,0
5322,874,1011,5214
6735,3161,5685,0
0,4025,1343,3726
1624,18275,0,5136
0,0,0,8516
4627,3407,3487,3458
1927,6629,2188,15688
3306,6661,0,0
0,2047,447,0
0,4219,3862,581
7437,3411,0,2540
951,4264,1960,2014
0,6668,1269,4959
2409,8732,8443,3251
2176,9943,10089,6742
1302,3309,8733,0
0,587,5014,1524
2026,5153,5809,0
2732,6513,0,0
3554,4118,0,3296
6752,0,0,891
0,1396,0,5314
6350,0,3384,9968
5925,3537,6559,5247
0,6176,3527,0
0,2992,3769,2804
3227,2936,0,7827
475,1519,0,8480
8136,3220,4389,9421
4781,854,8393,4086
4832,7349,11190,2488
5248,0,4152,0
8454,9900,0,5100
0,332,6034,0
0,9975,3811,1773
0,2572,785,3519
2671,1470,9882,4313
6715,4758,5024,310
0,0,4185,1668
6102,4723,0,0
3797,9216,0,13556
12098,6054,4316,14991
11086,3645,5461,4745
1249,2290,8969,0
1805,0,7723,7187
2616,15132,0,4236
4715,3587,0,6522
0,1367,7818,3600
0,4823,4957,3557
13703,3602,2327,0
3948,7101,2748,3492
268,0,6660,0
2441,0,1081,0
0,685,0,0
2947,0,3914,3087
3955,3505,12862,3403
4778,0,0,0
9390,0,0,1219
4812,4559,411,0
6621,0,10677,3511
5545,10146,0,3790
6633,4959,0,0
0,0,0,405
0,18468,4410,4054
8841,2162,4926,3660
7130,4214,1111,3340
1651,1362,0,7176
5412,4105,5140,0
0,0,8698,0
5150,2575,3217,0
1354,4270,4946,3256
4915,11884,4751,9719
3571,12547,4967,0
4013,3803,246,415
5793,6302,2326,0
2164,4300,7457,5838
0,8111,4844,4000
0,0,5157,6013
1162,0,0,4540
4073,8380,1525,5665
0,3402,13966,5695
0,0,1158,0
0,11026,0,1992
8013,0,12295,3589
0,0,3232,8201
2428,5078,5081,13540
15828,2658,0,1729
0,10690,7385,2524
14168,0,6511,3653
0,3059,3317,5564
10472,3896,0,0
3818,1195,3425,0
5013,4875,3172,1497
0,8624,7076,0
5161,567,0,0
0,4385,0,0
0,8951,4127,3464
3039,6421,4298,9372
2458,2790,0,1079
3311,2321,5165,0
3054,0,5001,0
5277,0,2527,2768
3990,4474,9362,0
5539,0,2081,4335
3420,4835,2008,2182
3261,7258,6663,13323
4479,10443,12363,3805
0,362,4233,4172
0,5790,1353,0
0,4601,12842,0
0,3010,751,0
838,0,6660,6664
0,4455,4405,4959
6353,0,0,0
2347,0,571,0
2066,16010,1330,0
0,4414,3399,3743
6599,6519,7856,0
0,2473,9464,5167
0,4725,4302,0
4926,4239,10422,0
7776,3130,13875,0
2845,3691,0,0
0,0,0,4789
0,0,0,541
5475,4871,0,0
5632,10763,0,1755
3844,5233,0,596
0,0,926,3913
6005,3329,6372,5964
0,9690,0,2524
0,9638,1975,5296
6171,8018,2807,6472
9627,0,3540,0
6287,0,0,6551
3288,1919,12269,4212
645,0,1715,0
4024,2992,6975,9817
4851,7755,3385,0
6619,835,2678,2320
0,557,2865,2978
0,5507,19134,4227
5471,0,0,0
7883,2783,10998,4579
5324,2002,8862,13048
9263,2258,7139,3359
0,923,0,10511
352,4824,5407,5570
0,5200,2894,6554
5259,0,3204,9619
8374,0,2399,0
14325,3812,0,4309
0,0,4840,8337
7063,2237,7532,0
4123,3313,6018,3776
5099,0,7773,0
2759,398,0,2760
7936,1322,8439,1670
5329,9654,0,5215
0,2734,7037,9380
3431,0,3956,2290
2283,5202,6754,5974
4282,0,3488,0
4266,2263,4023,0
5401,6677,460,4597
4544,11091,0,4860
3017,10156,0,3636
0,3317,13532,1659
9312,4816,927,9058
7462,5551,3460,2703
1795,11061,8518,1141
0,2046,7708,2463
5789,4790,3898,1681
0,3057,15867,4604
4821,1423,13295,0
3230,0,1605,4716
5181,7834,0,1488
1653,0,3147,14096
0,4979,3028,1134
6371,10270,0,0
7091,4424,8659,3105
0,0,1926,697
10810,8667,7149,4371
2696,0,0,0
4124,741,7772,5331
3546,4638,4719,0
1133,0,0,6034
12193,0,5286,0
6347,4803,5099,1927
4631,1790,3183,371
3985,1558,4092,8878
0,0,1912,0
4542,536,2318,4820
0,4060,14931,1694
5090,5709,4020,3608
3427,5459,3971,0
0,0,8228,0
2165,9949,1577,0
0,759,4239,12481
0,5080,2294,3370
1945,0,6540,0
3860,0,5105,1762
1687,3048,1589,5143
3922,648,4512,3944
0,5211,0,1731
0,0,3343,6249
0,4930,3750,0
1948,4982,683,7222
531,5324,3066,322
8904,0,0,3484
5851,367,0,0
0,773,12359,5105
5487,0,4333,0
2169,3151,1321,8059
664,5172,0,0
1894,2556,3905,2143
0,0,0,592
13976,1699,3768,5592
3541,1494,0,5198
0,0,0,2292
11964,0,4261,4504
0,0,7972,0
4222,0,0,713
0,8689,4747,3086
10502,3893,0,0
3372,2551,919,8631
5277,0,8504,3423
2011,0,6555,0
1573,4630,7493,6279
8987,0,872,0
5252,472,0,6217
884,0,12764,5637
6002,2536,2334,3185
8851,0,1687,3514
2888,9357,2535,744
882,0,0,1098
3751,2803,0,4702
0,1132,1729,723
1327,8177,0,0
0,1074,3920,5792
862,6487,0,0
0,0,9850,1649
0,1136,7274,4343
0,16599,6685,9866
1156,2995,0,4605
0,7487,0,0
5634,0,7916,4318
7527,4384,7216,3589
2781,3836,4698,2735
0,955,1137,0
8012,0,2674,4019
4532,0,0,1024
5855,5249,10084,9543
2261,4380,10081,7231
2133,759,0,3371
0,0,6550,0
0,0,2581,3108
8469,6524,5945,10603
0,5003,0,9282
2289,4108,8367,0
0,6069,646,2727
0,0,2120,2027
4108,1860,0,0
13530,7363,13481,3620
0,3771,4000,1054
10602,5014,1197,5065
1251,949,3460,0
284,0,4152,2012
4851,12896,8017,0
2888,2905,4844,8548
5161,0,4267,5695
0,3323,2434,7534
0,5793,892,2962
7187,3930,3040,0
4105,5114,543,5231
10206,6036,6076,0
1434,4574,2509,1915
204,8591,0,2032
10821,3325,0,0
0,6510,2570,0
0,0,6308,0
12621,0,0,3810
655,3500,0,1719
6895,9999,1109,6758
9156,0,1101,8202
6987,1267,2978,929
4865,0,4592,4643
5126,1611,1948,7116
8918,3267,1444,0
5068,3232,0,0
5856,0,2170,0
477,360,4818,6348
4629,3088,3353,4726
0,3625,6253,1894
0,0,0,2634
11544,0,1276,0
0,9470,2526,533
4662,6230,2313,4010
2165,3161,5130,0
1193,4850,12800,0
7063,1670,6787,9363
3223,6073,2190,9413
1638,0,1752,0
6539,4469,13032,488
0,0,1506,2997
5609,0,1589,0
3690,5373,2221,5176
2713,1493,0,2614
7644,4999,8390,8019
3009,0,7017,2665
0,4121,6987,1812
0,338,6241,0
6785,2928,6580,0
1296,4761,3496,0
5628,5792,0,0
9754,3362,0,5309
5120,0,8080,0
0,9768,4526,9898
3530,4688,4753,0
7529,2068,0,0
4297,0,7253,8444
0,0,3865,0
2297,0,3882,5019
2730,3180,1045,3110
4494,4288,5541,11092
7096,3536,635,3926
0,2075,7897,6922
2014,5871,0,1794
597,11179,0,10269
0,0,5619,4414
2509,10260,2045,2622
2135,0,2560,2706
0,4366,0,3943
4814,3055,3807,1449
3804,382,2323,0
0,0,1001,2010
5031,9070,7480,3960
555,7753,2341,5426
4833,4761,8488,0
16305,15159,3401,9222
4241,6285,12038,4121
960,7460,0,0
0,1170,4171,6575
7520,7420,5529,4909
0,5257,4767,765
0,0,2893,1822
0,13594,2774,0
11319,3409,3251,0
8320,0,2648,1795
1396,8337,0,1825
4786,0,6592,0
0,1203,4714,0
1211,1708,3606,9660
0,12407,4165,3736
11111,3152,2349,7165
0,5982,0,0
0,2293,1097,0
0,1254,3456,0
3939,0,231,2699
441,10099,8742,4071
4489,6096,574,2038
1220,11408,3956,2992
9997,4902,1636,2380
3564,6230,359,1083
1386,0,4814,0
2386,1956,0,3959
5156,0,0,0
10091,832,6586,0
1205,5233,4059,4474
4104,1528,11689,7504
0,1553,750,0
605,6858,0,6732
0,2473,0,6788
8578,0,8385,5071
4712,0,574,3881
4872,1044,2356,6865
5431,7229,7790,0
18145,0,13699,5629
3426,0,4453,0
1006,0,0,9015
4282,252,2356,8137
0,4325,0,0
1493,13572,493,5977
3843,4196,0,9725
4883,12769,5255,14110
5197,2528,6216,6364
3585,3998,4960,0
5877,1763,5711,3983
0,0,5437,2941
2047,5691,5126,3689
6159,10559,9157,2739
1482,0,561,2059
0,0,0,782
2662,12376,5622,3868
0,3707,0,0
4223,2590,0,4360
0,3923,2721,8672
4517,0,5007,0
0,0,2370,9508
4124,2391,1423,3152
568,1521,4809,3039
7505,3031,0,6598
4172,0,0,5339
1507,7677,0,0
4294,0,1834,3130
0,0,15074,0
2259,5960,952,1937
2274,4508,11657,9034
6373,9724,5264,986
